season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2019,REG,0,Keenan Allen,WR,LAC,5.390367647,2.745371925,10.04677852,30.38163508,104,149,69.79865772,1199,6,3.722211538,3.622714613,0.099496926,00-0030279,Keenan,Allen,13,K.Allen
2019,REG,0,Travis Kelce,TE,KC,5.39,3.077840743,9.310514706,26.9855613,97,136,71.32352941,1229,5,4.494639175,4.127992804,0.366646371,00-0030506,Travis,Kelce,87,T.Kelce
2019,REG,0,Tyler Eifert,TE,CIN,5.384,2.418961464,8.44031746,11.16022331,43,63,68.25396825,436,3,2.937906977,2.709388875,0.228518101,00-0030549,Tyler,Eifert,85,T.Eifert
2019,REG,0,Darren Waller,TE,LV,5.36606383,3.143290086,7.208376068,26.68729808,90,117,76.92307692,1145,3,6.862444444,5.567095234,1.295349211,00-0031610,Darren,Waller,83,D.Waller
2019,REG,0,Demarcus Robinson,WR,KC,5.363703704,3.077793218,13.35909091,15.65879908,32,55,58.18181818,449,4,3.3753125,3.56860942,-0.19329692,00-0032775,Demarcus,Robinson,11,D.Robinson
2019,REG,0,Sammy Watkins,WR,KC,5.341710526,2.867584117,9.648111111,18.50562097,52,90,57.77777778,673,3,5.880769231,5.333175808,0.547593422,00-0031325,Samuel,Watkins,14,S.Watkins
2019,REG,0,Mike Evans,WR,TB,5.341025641,2.424221524,15.27737288,28.3363906,67,118,56.77966102,1157,8,4.310447761,4.017919045,0.292528716,00-0031408,Mike,Evans,13,M.Evans
2019,REG,0,Phillip Dorsett,WR,NE,5.329038462,2.895081677,13.89314815,16.96385771,29,54,53.7037037,397,5,3.164482759,4.033852761,-0.869370002,00-0032208,Phillip,Dorsett,13,P.Dorsett II
2019,REG,0,DaeSean Hamilton,WR,DEN,5.271041667,3.256236562,8.563269231,13.06038768,28,52,53.84615385,297,1,4.630357143,4.512009358,0.118347784,00-0034370,DaeSean,Hamilton,17,D.Hamilton
2019,REG,0,Kenny Golladay,WR,DET,5.270789474,1.947729227,15.40327586,33.67051969,65,116,56.03448276,1190,11,4.889076923,4.208207005,0.680869918,00-0033932,Kenneth,Golladay,19,K.Golladay
2019,REG,0,D.J. Moore,WR,CAR,5.25625,2.640551015,11.14214815,30.18522235,87,135,64.44444444,1175,4,4.783103448,3.976858477,0.806244971,00-0034827,Denniston,Moore,12,D.Moore
2019,REG,0,Mike Williams,WR,LAC,5.233258427,2.003895259,17.38944444,31.76334728,49,90,54.44444444,1001,2,4.761020408,3.431137893,1.329882516,00-0033536,Michael,Williams,81,M.Williams
2019,REG,0,Terry McLaurin,WR,WAS,5.23173913,2.111865233,14.14709677,37.09160415,58,93,62.3655914,919,7,3.896551724,2.634287743,1.262263981,00-0035659,Terry,McLaurin,17,T.McLaurin
2019,REG,0,Irv Smith,TE,MIN,5.222432432,3.034680942,5.76,7.808742396,35,46,76.08695652,290,2,3.963428571,4.237532445,-0.274103873,00-0034970,Irvin,Smith,84,I.Smith
2019,REG,0,Greg Olsen,TE,CAR,5.200952381,2.821402272,8.764146341,14.42165677,52,82,63.41463415,597,2,4.449038462,4.845914245,-0.396875784,00-0025418,Gregory,Olsen,88,G.Olsen
2019,REG,0,Vance McDonald,TE,PIT,5.162903226,3.780452965,4.634545455,6.748331449,38,55,69.09090909,273,3,4.748421053,3.924563162,0.823857891,00-0030470,Vance,McDonald,89,V.McDonald
2019,REG,0,Mohamed Sanu,WR,NE,5.161025641,3.101366127,7.551797753,12.5170405,59,89,66.29213483,520,2,3.276271186,3.776653132,-0.500381946,00-0029632,Mohamed,Sanu,14,M.Sanu Sr.
2019,REG,0,Michael Thomas,WR,NO,5.154972376,2.56326139,8.144702703,41.33618277,149,185,80.54054054,1725,9,4.065369128,3.433909974,0.631459153,00-0032765,Michael,Thomas,13,M.Thomas
2019,REG,0,George Kittle,TE,SF,5.151511628,3.268650382,5.746261682,20.19344456,85,107,79.43925234,1053,5,7.533058824,6.190038805,1.343020019,00-0033288,George,Kittle,85,G.Kittle
2019,REG,0,Emmanuel Sanders,WR,SF,5.137659574,2.50301766,10.85134021,30.87224701,66,97,68.04123711,869,5,3.835151515,3.923006701,-0.087855186,00-0027685,Emmanuel,Sanders,17,E.Sanders
2019,REG,0,Courtland Sutton,WR,DEN,5.116422764,2.501444075,11.80395161,42.93013284,72,124,58.06451613,1112,6,5.20625,3.872975571,1.333274429,00-0034348,Courtland,Sutton,14,C.Sutton
2019,REG,0,Gerald Everett,TE,LAR,5.112653061,2.959677204,8.394333333,10.59883881,37,60,61.66666667,408,2,5.041081081,4.135146858,0.905934223,00-0033895,Gerald,Everett,81,G.Everett
2019,REG,0,Allen Robinson,WR,CHI,5.058531469,2.235597511,11.08194805,39.20452457,98,154,63.63636364,1147,7,3.058877551,3.308702216,-0.249824665,00-0031428,Allen,Robinson,12,A.Robinson
2019,REG,0,Darren Fells,TE,HOU,5.050625,2.896780837,5.464375,5.842897368,34,48,70.83333333,341,7,5.344411765,4.827688256,0.516723509,00-0029738,Darren,Fells,87,D.Fells
2019,REG,0,DeVante Parker,WR,MIA,5.042903226,2.134516776,13.76820312,33.10914013,72,128,56.25,1202,9,4.203194444,3.484360999,0.718833446,00-0031547,DeVante,Parker,11,D.Parker
2019,REG,0,O.J. Howard,TE,TB,5.040833333,2.466795176,9.415660377,7.844052632,34,53,64.1509434,459,1,5.020882353,4.19090956,0.829972793,00-0033879,O'Terrius,Howard,80,O.Howard
2019,REG,0,DeAndre Hopkins,WR,HOU,5.038819444,2.672764359,10.28633333,34.37149145,104,150,69.33333333,1165,7,3.908846154,4.017570454,-0.1087243,00-0030564,DeAndre,Hopkins,10,D.Hopkins
2019,REG,0,Chris Conley,WR,JAX,5.002222222,2.343314128,14.30633333,30.35468851,47,90,52.22222222,775,5,5.351489362,3.980660274,1.370829087,00-0032128,Christian,Conley,18,C.Conley
2019,REG,0,Tyrell Williams,WR,LV,4.960862069,2.61973489,13.48765625,27.31478405,42,64,65.625,651,6,5.038809524,4.683576044,0.35523348,00-0032160,Tyrell,Williams,16,T.Williams
2019,REG,0,A.J. Brown,WR,TEN,4.9575,2.18627347,13.44666667,29.8000438,52,84,61.9047619,1051,8,8.835384615,4.345318423,4.490066193,00-0035676,Arthur,Brown,11,A.Brown
2019,REG,0,D.K. Metcalf,WR,SEA,4.9111,2.47979123,13.3591,28.5071977,58,100,58,900,7,5.038275862,3.417457088,1.620818774,00-0035640,DeKaylin,Metcalf,14,DK.Metcalf
2019,REG,0,Jared Cook,TE,NO,4.880784314,2.349196951,10.87353846,19.38954669,43,65,66.15384615,705,9,6.057209302,4.059921097,1.997288205,00-0027061,Jared,Cook,87,J.Cook
2019,REG,0,JuJu Smith-Schuster,WR,PIT,4.861612903,2.373298046,9.573285714,17.74130778,42,70,60,552,3,6.033095238,4.437038677,1.596056561,00-0033857,John,Smith-Schuster,19,J.Smith-Schuster
2019,REG,0,Darius Slayton,WR,NYG,4.806666667,2.163035078,14.52440476,25.5412642,48,84,57.14285714,740,8,3.984375,3.173152517,0.811222483,00-0035535,Darius,Slayton,86,D.Slayton
2019,REG,0,Alshon Jeffery,WR,PHI,4.767638889,2.483647299,11.21,17.16382536,43,73,58.90410959,490,4,3.140232558,3.428361712,-0.288129154,00-0029137,Alshon,Jeffery,17,A.Jeffery
2019,REG,0,John Brown,WR,BUF,4.649553571,2.387455361,14.16173913,36.13842931,72,115,62.60869565,1060,6,3.112777778,3.086167579,0.026610199,00-0031051,John,Brown,15,J.Brown
2019,REG,0,Stefon Diggs,WR,MIN,4.621182796,2.504979811,14.89797872,41.27204461,63,94,67.0212766,1126,6,5.098571429,4.63584164,0.462729788,00-0031588,Stefon,Diggs,14,S.Diggs
2019,REG,0,Preston Williams,WR,MIA,4.540338983,2.125521711,14.3445,16.16952763,32,60,53.33333333,428,3,2.4334375,2.495263635,-0.061826135,00-0035350,Preston,Williams,18,P.Williams
2019,REG,0,Dawson Knox,TE,BUF,4.45975,2.844542227,9.4782,10.51600334,28,50,56,388,2,5.597142857,4.594862015,1.002280843,00-0035689,Dawson,Knox,88,D.Knox
2019,REG,0,Robby Anderson,WR,NYJ,4.337446809,2.173501235,15.344375,36.72577955,52,96,54.16666667,779,5,3.8,3.547760592,0.252239408,00-0032688,Robby,Anderson,11,Ro.Anderson
2019,REG,1,D.J. Moore,WR,CAR,9.309,3.238047568,10.769,46.0056391,7,10,70,76,0,1.771428571,2.076462897,-0.305034326,00-0034827,Denniston,Moore,12,D.Moore
2019,REG,1,Paul Richardson,WR,WAS,8.63,2.624855523,11.49428571,25.41537684,4,7,57.14285714,36,0,1.0775,0.973060268,0.104439732,00-0031257,Paul,Richardson,10,P.Richardson
2019,REG,1,Sterling Shepard,WR,NYG,8.601666667,5.409095748,2.651428571,7.589760366,6,7,85.71428571,42,0,5.59,5.590691368,-6.91E-04,00-0032385,Sterling,Shepard,87,S.Shepard
