season,season_type,week,player_display_name,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2019,REG,2,Marlon Mack,RB,IND,6.072156863,10,3.69695,20,51,67.74403187,-16.74403187,2.55,-0.837201593,0.45,0,00-0033951,Marlon,Mack,25,M.Mack
2019,REG,2,Raheem Mostert,RB,SF,3.227349398,46.15384615,3.091461538,13,83,63.03982862,19.96017138,6.384615385,1.535397798,0.461538462,0,00-0031687,Dominique,Mostert,31,R.Mostert
2019,REG,2,Derrick Henry,RB,TEN,3.48097561,20,2.935133333,15,82,81.47187546,0.52812454,5.466666667,0.035208303,0.4,1,00-0032764,Derrick,Henry,22,D.Henry
2019,REG,2,Josh Jacobs,RB,LV,2.587777778,0,2.507833333,12,99,46.43013923,52.56986077,8.25,4.380821731,0.5,0,00-0035700,Joshua,Jacobs,28,J.Jacobs
2019,REG,2,Chris Carson,RB,SEA,3.935666667,0,2.582733333,15,60,63.40597608,-3.405976081,4,-0.227065072,0.333333333,0,00-0033594,Christopher,Carson,32,C.Carson
2019,REG,2,Royce Freeman,RB,DEN,3.638333333,0,2.761909091,11,54,51.37684296,2.623157044,4.909090909,0.238468822,0.363636364,0,00-0034838,Royce,Freeman,28,R.Freeman
2019,REG,2,Dalvin Cook,RB,MIN,3.010064935,10,2.8858,20,154,89.67060705,64.32939295,7.7,3.216469647,0.4,1,00-0033893,Dalvin,Cook,33,D.Cook
2019,REG,2,Todd Gurley,RB,LAR,5.007460317,12.5,3.172625,16,63,65.28677519,-2.286775185,3.9375,-0.142923449,0.375,1,00-0032241,Todd Gurley II,Gurley,30,T.Gurley
2019,REG,2,Joe Mixon,HB,CIN,8.651176471,0,2.981090909,11,17,44.36486061,-27.36486061,1.545454545,-2.487714601,0.090909091,0,00-0033897,Joe,Mixon,28,J.Mixon
2019,REG,2,Miles Sanders,RB,PHI,5.673571429,0,3.0443,10,28,57.39542875,-29.39542875,2.8,-2.939542875,0.2,0,00-0035243,Miles,Sanders,26,M.Sanders
2019,REG,2,Phillip Lindsay,RB,DEN,7.364722222,7.692307692,3.430923077,13,36,58.61190205,-22.61190205,2.769230769,-1.739377081,0.153846154,0,00-0034109,Phillip,Lindsay,30,P.Lindsay
